,Title,published_date,Views,Likes,Comments,Month
0,MOM KO DIYA SURPRISE | SHANICE MAKING SOMETHING SPECIAL,2022-08-10,162476,20005,162476,Aug
1,SPEED CAMERA NAHI DHEKA | TAGDA FINE LAGEGA AGAR PHOTO NIKLI THO,2022-08-09,353583,29226,353583,Aug
2,SHANICE FINALLY MET RANBIR KAPOOR | Her childhood love. 😒,2022-08-08,403061,38925,403061,Aug
3,SKYUS EAR PIERCING DAY | SHE IS STRONGER THAN I IMAGINED,2022-08-07,463354,40559,463354,Aug
4,I THINK ABB ISKE SATH TRAVEL KARNA ASAAN HOGA.,2022-08-06,304774,28241,304774,Aug
5,SHADI KE BAAD ISKE APNE MAZE HAI ..,2022-08-05,274101,27893,274101,Aug
6,GOING TO BE HOME ALONE | SHANICE GOING TO LIVE WITH HER PARENTS,2022-08-04,382232,32539,382232,Aug
7,NEW PHASE OF SKY | GIVING ANGRY FACIAL EXPRESSION.,2022-08-03,334101,35067,334101,Aug
8,LOGO NE HAMARE JOKE KO SERIOURSLY LELIYA,2022-08-02,331109,33054,331109,Aug
9,SABKO NEWS DEKE SHOCK KARDIYA | SHANICE KE BIRTHDAY PAR | 2022,2022-08-01,579740,45821,579740,Aug
10,Mumbai mai sabse best vada pav kaha milta hai ?,2022-07-31,201292,20345,201292,Jul
11,PLAN FAIL NA HOJAYE BUSS |,2022-07-30,288009,30332,288009,Jul
12,NAZAR HATI AND SKYU BED SE GIR GAYI,2022-07-29,341847,32374,341847,Jul
13,HOUSE LOOKS SO DIFFERENT WITH THESE SMALL CHANGE.,2022-07-28,361999,31836,361999,Jul
14,DELIVERY BOY BANKAR SURPRISE DIYA APNE SUBSCRIBER KO,2022-07-27,555097,43933,555097,Jul
15,That why streets in Hiranandani doesn’t appear dirty.,2022-07-27,231097,16666,231097,Jul
16,TRAFFIC MAI CAR MAI MASTI CHALU HAI.,2022-07-26,296807,30724,296807,Jul
17,SHANICE NE THO KAMAL KARDIYA,2022-07-25,315319,31271,315319,Jul
18,SAB KO REACTION CHAHIYE THA | SHE GOT VERY ANGRY,2022-07-24,385540,35719,385540,Jul
19,SHADI KE BAAD KI SACCHAI | REALITY,2022-07-23,352723,35887,352723,Jul
20,EKDUM PEHELE WALI FEELING AGAI..,2022-07-22,317654,32093,317654,Jul
21,THIS BEAUTIFUL GIFT FOR SKYU.,2022-07-21,311908,32428,311908,Jul
22,PASSPORT APPLY KARDIYA BUT EK GALTI KARDI..,2022-07-20,315433,32562,315433,Jul
23,SKYU IS SHOWING SIGNS OF A CAR LOVER,2022-07-19,361377,36701,361377,Jul
24,YEH NEW PROBLEM AGAI | SKYU KE VISA KI ..,2022-07-18,352526,32530,352526,Jul
25,SURAT MAI THO MINI MEETUP HOGAYA SAFELY 🌝,2022-07-16,382420,36650,382420,Jul
26,ROAD CLOSED DUE TO HEAVY RAIN | SOLUTION NEKALNA PADEGA,2022-07-15,469089,41390,469089,Jul
27,"GUJARAT NEKALNA PADA , LEKIN USKE PEHELE YEH HOAGAY .",2022-07-14,499653,47272,499653,Jul
28,LIFE IS ALL ABOUT BEING HAPPY !!,2022-07-13,326435,35173,326435,Jul
29,IT WAS A TOTAL DISASTER | WILL NEVER DO IT ..,2022-07-12,433020,38501,433020,Jul
30,KYA KAMAAL KA BUSINESS IDEA DIYA HAI ..,2022-07-11,430051,37713,430051,Jul
31,SCOOTER KI DELIVERY HOGAI,2022-07-09,731917,55409,731917,Jul
32,GOT THE CAR WITH A LITTLE BIT OF TWIST,2022-07-08,1279471,83219,1279471,Jul
33,ABB THO EK SAAL WAIT KARNA PADEGA NEW CAR KE LIYE !!,2022-07-07,393221,37311,393221,Jul
34,SHANICE BOOKED OUR NEW SCOOTER,2022-07-06,459363,39528,459363,Jul
35,MUMBAI KI BARISH NE SARE PLANS BADAL DIYE,2022-07-05,312583,32690,312583,Jul
36,EVERYONE IS TELLING US TO GET A DOG !!,2022-07-04,485153,39492,485153,Jul
37,SHE GOT OVER EXCITED TODAY.,2022-07-02,378371,33674,378371,Jul
38,Professional photography karne Ki taiyari,2022-07-02,125150,9563,125150,Jul
39,MUMBAI KI BARISH MAI WATER CROSSING,2022-07-01,403560,36296,403560,Jul
40,THE MOST PAINFUL EXPERIENCE EVER !!,2022-06-30,295425,30398,295425,Jun
41,PLANNING TO GET THIS..,2022-06-29,324427,35660,324427,Jun
42,Waking up in a new destination,2022-06-29,101497,6722,101497,Jun
43,SKYU SAID DADDY FOR THE FIRST TIME,2022-06-28,372547,36830,372547,Jun
